word,entity_type,frequency,source
姚明,PERSON,21,NER+Jieba
法语,LANGUAGE,21,NER+Jieba
Swimming,PERSON,21,NER
三点钟,TIME,21,NER+Jieba
guap,PERSON,21,NER
boi,PERSON,21,NER
八年,DATE,21,NER+Jieba
九十九岁,DATE,21,NER
bih,ORG,21,NER
16年,DATE,21,NER
8英里,QUANTITY,21,NER
Drake,PERSON,21,NER
施逸凡,PERSON,21,NER+Jieba
weekend,DATE,21,NER
Yah,TIME,21,NER
一万年,DATE,21,NER+Jieba
袁,PERSON,21,NER+Jieba
多年,DATE,21,NER+Jieba
南昌,GPE,21,NER+Jieba
杰森,PERSON,21,NER+Jieba
Tonight,PRODUCT,21,NER
(姑娘,CARDINAL,21,NER
安徽仔,PERSON,21,NER
周大福,PERSON,21,NER+Jieba
迈阿密,GPE,20,NER+Jieba
汪洋,PERSON,20,NER+Jieba
徐真,PERSON,20,NER
gai,WORK_OF_ART,20,NER
flexin,PERSON,20,NER
3.5亿,CARDINAL,20,NER
2020 2020,DATE,20,NER
逼啰,PERSON,20,NER
科比,PERSON,20,NER+Jieba
夏季,DATE,20,NER+Jieba
HALIDAM,PERSON,20,NER
酱舞团,PERSON,20,NER
新浪,ORG,20,NER+Jieba
孤矢,PERSON,20,NER+Jieba
两三,CARDINAL,20,NER+Jieba
湖南,GPE,20,NER+Jieba
庐山,LOC,20,NER+Jieba
维纳斯,PERSON,20,NER+Jieba
刘华强,PERSON,20,NER+Jieba
CREAM D,PRODUCT,20,NER
HUH,PERSON,20,NER
Mama,CARDINAL,20,NER
阿刀,PERSON,20,NER+Jieba
乔丹,PERSON,20,NER+Jieba
叶霖,PERSON,20,NER+Jieba
Jackie,PERSON,20,NER
黎明,TIME,20,NER+Jieba
Lilith,PERSON,20,NER
一小时,TIME,20,NER
十天,DATE,20,NER+Jieba
Hundred,PERSON,20,NER
杨秋儒,PERSON,20,NER+Jieba
Sometime,PRODUCT,20,NER
三月,DATE,20,NER+Jieba
北京城,GPE,20,NER+Jieba
33,CARDINAL,20,NER
᠂,PERSON,20,NER
三百,CARDINAL,20,NER+Jieba
天注定,PERSON,20,NER
afraid,NORP,19,NER
财神爷,PERSON,19,NER+Jieba
(宝贝,PERSON,19,NER
2pac,DATE,19,NER
27,CARDINAL,19,NER
周星驰,PERSON,19,NER+Jieba
三亚,GPE,19,NER+Jieba
五颜六色,CARDINAL,19,NER+Jieba
邓典果,PERSON,19,NER+Jieba
斐济,GPE,19,NER+Jieba
说唱圈,GPE,19,NER
张浩然,PERSON,19,NER
rocking,PERSON,19,NER
七八,CARDINAL,19,NER+Jieba
李鸿翔,PERSON,19,NER+Jieba
阿姆,PERSON,19,NER+Jieba
小武,PERSON,19,NER+Jieba
hating,PERSON,19,NER
Damn,CARDINAL,19,NER
Homie,PERSON,19,NER
欧阳靖,PERSON,19,NER+Jieba
十分钟,TIME,19,NER+Jieba
刘海,PERSON,19,NER+Jieba
一周,DATE,19,NER+Jieba
Too many,PERSON,19,NER
几分钟,TIME,19,NER+Jieba
冉启升,PERSON,19,NER+Jieba
一遍遍,CARDINAL,19,NER
三岁,DATE,19,NER+Jieba
川渝,LOC,19,NER
叶俊,PERSON,19,NER+Jieba
维伴,PERSON,19,NER+Jieba
中午,TIME,19,NER+Jieba
GREENSOLD,ORG,19,NER
NASA,ORG,19,NER
Jackson,PERSON,19,NER
周游,PERSON,19,NER+Jieba
阿里,ORG,19,NER+Jieba
当天,DATE,19,NER+Jieba
Hottie,NORP,19,NER
guns,PERSON,19,NER
eZ,PERSON,19,NER
中国式,GPE,19,NER+Jieba
郑晓桐,PERSON,19,NER+Jieba
米狗M,PERSON,19,NER
东莞,GPE,19,NER+Jieba
UNCLEDAM,ORG,19,NER
蛙面,ORG,19,NER
双,CARDINAL,18,NER+Jieba
Mossa,PRODUCT,18,NER
纪梵希,PERSON,18,NER+Jieba
亚特兰蒂斯,FAC,18,NER+Jieba
Hater,ORG,18,NER
宜家,ORG,18,NER+Jieba
020,CARDINAL,18,NER
金庸,PERSON,18,NER+Jieba
故宫,FAC,18,NER+Jieba
yond,ORG,18,NER
Man,PERSON,18,NER
Rick,PERSON,18,NER
林,PERSON,18,NER+Jieba
